,month,year,state,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
0,1,1950,Alabama,53.8,45.9,-86.82837194,32.78983219
1,1,1950,Arizona,39.6,41.1,-111.6644183,34.29310987
2,1,1950,Arkansas,45.6,40.4,-92.43926766,34.89974533
3,1,1950,California,39.4,42.7,-119.610699,37.24607067
4,1,1950,Colorado,25.2,24.5,-105.5478247,38.99855182
5,1,1950,Connecticut,32.5,27.3,-72.72570604,41.62028634
6,1,1950,Delaware,42,34.8,-75.40040409,38.88701645
7,1,1950,Florida,64.4,58.3,-81.79746387,28.62843926
8,1,1950,Georgia,53.5,46.6,-83.44634183,32.64922907
9,1,1950,Idaho,20.4,22.9,-114.6593823,44.08908951
10,1,1950,Illinois,33.1,27.4,-89.19839676,40.06504091
11,1,1950,Indiana,35.2,28.5,-86.27563973,39.90814123
12,1,1950,Iowa,21,20.2,-93.50006496,42.07462688
13,1,1950,Kansas,31,30.1,-98.38021317,38.48470815
14,1,1950,Kentucky,41.8,35,-85.29045609,37.52666746
15,1,1950,Louisiana,57.6,50.2,-92.58566202,31.05840696
16,1,1950,Maine,20.6,15.9,-69.22664746,45.37143349
17,1,1950,Maryland,41.1,33.9,-76.77245461,39.0369223
18,1,1950,Massachusetts,31.6,26.1,-71.79863942,42.2533024
19,1,1950,Michigan,23.8,20.7,-85.43716696,44.35068131
20,1,1950,Minnesota,5.2,9.7,-94.30901265,46.31633293
21,1,1950,Mississippi,54,46.1,-89.66521368,32.75086663
22,1,1950,Missouri,35.3,31.3,-92.47741016,38.36761316
23,1,1950,Montana,6.8,18.8,-109.6451486,47.03353642
24,1,1950,Nebraska,21.2,23.7,-99.81080907,41.52714896
25,1,1950,Nevada,28.2,30.5,-116.6552255,39.35623735
26,1,1950,New Hampshire,24.7,19.4,-71.57759415,43.68563175
27,1,1950,New Jersey,37.8,31.4,-74.66075411,40.18442736
28,1,1950,New Mexico,34.8,34,-106.1083886,34.42137076
29,1,1950,New York,28.4,22.2,-75.50311828,42.94039011
30,1,1950,North Carolina,47.7,40.8,-79.37237975,35.54153412
31,1,1950,North Dakota,-2.4,9.6,-100.4693211,47.44633852
32,1,1950,Ohio,35.6,28.7,-82.7900612,40.29145221
33,1,1950,Oklahoma,39.4,37.8,-97.50829271,35.58348565
34,1,1950,Oregon,27,31.1,-120.5554134,43.93664816
35,1,1950,Pennsylvania,33.7,27.1,-77.79955956,40.87383785
36,1,1950,Rhode Island,34.8,29.1,-71.55361205,41.67608139
37,1,1950,South Carolina,51.4,45.1,-80.89613969,33.90797425
38,1,1950,South Dakota,9.8,17.5,-100.2305075,44.4361607
39,1,1950,Tennessee,45.3,38.3,-86.34338037,35.84298709
40,1,1950,Texas,50,46.1,-99.35069715,31.48446438
41,1,1950,Utah,24,26.2,-111.6782164,39.32379475
42,1,1950,Vermont,24,17.8,-72.66264936,44.07519583
43,1,1950,Virginia,43,35.8,-78.81225447,37.51502389
44,1,1950,Washington,21.7,29.5,-120.4468664,47.38096888
45,1,1950,West Virginia,39.4,31.8,-80.61371197,38.64259874
46,1,1950,Wisconsin,15.4,15.3,-90.01169426,44.63803019
47,1,1950,Wyoming,17.1,19.5,-107.5514541,42.99964203
48,2,1950,Alabama,56,46.5,-86.82837194,32.78983219
49,2,1950,Arizona,43.5,42.7,-111.6644183,34.29310987
50,2,1950,Arkansas,46.5,41.2,-92.43926766,34.89974533
51,2,1950,California,41.9,43.8,-119.610699,37.24607067
52,2,1950,Colorado,27.6,25.6,-105.5478247,38.99855182
53,2,1950,Connecticut,29.2,25.8,-72.72570604,41.62028634
54,2,1950,Delaware,40.2,33.8,-75.40040409,38.88701645
55,2,1950,Florida,64.7,58.6,-81.79746387,28.62843926
56,2,1950,Georgia,55.4,47.3,-83.44634183,32.64922907
57,2,1950,Idaho,21.8,24.2,-114.6593823,44.08908951
58,2,1950,Illinois,30.8,27.3,-89.19839676,40.06504091
59,2,1950,Indiana,33,28,-86.27563973,39.90814123
60,2,1950,Iowa,18.9,20.2,-93.50006496,42.07462688
