year,period,level,state,crop,measurement,domain,yield
2020,YEAR,STATE,ALABAMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,158
2020,YEAR,STATE,ARIZONA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,202
2020,YEAR,STATE,ARKANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,184
2020,YEAR,STATE,CALIFORNIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,187
2020,YEAR,STATE,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,116
2020,YEAR,STATE,DELAWARE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,160
2020,YEAR,STATE,FLORIDA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,138
2020,YEAR,STATE,GEORGIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180
2020,YEAR,STATE,IDAHO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,199
2020,YEAR,STATE,ILLINOIS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191
2020,YEAR,STATE,INDIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,187
2020,YEAR,STATE,IOWA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,177
2020,YEAR,STATE,KANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,134
2020,YEAR,STATE,KENTUCKY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,184
2020,YEAR,STATE,LOUISIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181
2020,YEAR,STATE,MARYLAND,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,155
2020,YEAR,STATE,MICHIGAN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,153
2020,YEAR,STATE,MINNESOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191
2020,YEAR,STATE,MISSISSIPPI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180
2020,YEAR,STATE,MISSOURI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,170
2020,YEAR,STATE,MONTANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,109
2020,YEAR,STATE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180
2020,YEAR,STATE,NEW JERSEY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,156
2020,YEAR,STATE,NEW MEXICO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,195
2020,YEAR,STATE,NEW YORK,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,157
2020,YEAR,STATE,NORTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,113
2020,YEAR,STATE,NORTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,139
2020,YEAR,STATE,OHIO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,171
2020,YEAR,STATE,OKLAHOMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,135
2020,YEAR,STATE,OREGON,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,241
2020,YEAR,STATE,OTHER STATES,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,0
2020,YEAR,STATE,PENNSYLVANIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,138
2020,YEAR,STATE,SOUTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,132
2020,YEAR,STATE,SOUTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,162
2020,YEAR,STATE,TENNESSEE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,170
2020,YEAR,STATE,TEXAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,128
2020,YEAR,STATE,UTAH,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,149
2020,YEAR,STATE,VIRGINIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,122
2020,YEAR,STATE,WASHINGTON,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,228
2020,YEAR,STATE,WEST VIRGINIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,144
2020,YEAR,STATE,WISCONSIN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,173
2020,YEAR,STATE,WYOMING,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,122
2019,YEAR,STATE,ALABAMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,147
2019,YEAR,STATE,ARIZONA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,231
2019,YEAR,STATE,ARKANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,175
2019,YEAR,STATE,CALIFORNIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,168
2019,YEAR,STATE,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,123
2019,YEAR,STATE,DELAWARE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,161
2019,YEAR,STATE,FLORIDA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,161
2019,YEAR,STATE,GEORGIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,160
2019,YEAR,STATE,IDAHO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,205
2019,YEAR,STATE,ILLINOIS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181
2019,YEAR,STATE,INDIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,169
2019,YEAR,STATE,IOWA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,198
2019,YEAR,STATE,KANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,133
2019,YEAR,STATE,KENTUCKY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,169
2019,YEAR,STATE,LOUISIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,165
2019,YEAR,STATE,MARYLAND,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,161
2019,YEAR,STATE,MICHIGAN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,147
2019,YEAR,STATE,MINNESOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,174
2019,YEAR,STATE,MISSISSIPPI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,174
2019,YEAR,STATE,MISSOURI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,155
2019,YEAR,STATE,MONTANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,95
2019,YEAR,STATE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,182
2019,YEAR,STATE,NEW JERSEY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,155
2019,YEAR,STATE,NEW MEXICO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,135
2019,YEAR,STATE,NEW YORK,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,158
2019,YEAR,STATE,NORTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,111
2019,YEAR,STATE,NORTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,131
2019,YEAR,STATE,OHIO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,164
2019,YEAR,STATE,OKLAHOMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,137
2019,YEAR,STATE,OREGON,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,237
2019,YEAR,STATE,OTHER STATES,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,0
2019,YEAR,STATE,PENNSYLVANIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,153
2019,YEAR,STATE,SOUTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,106
2019,YEAR,STATE,SOUTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,144
2019,YEAR,STATE,TENNESSEE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,177
2019,YEAR,STATE,TEXAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,133
2019,YEAR,STATE,UTAH,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,143
2019,YEAR,STATE,VIRGINIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,144
2019,YEAR,STATE,WASHINGTON,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,237
2019,YEAR,STATE,WEST VIRGINIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,165
2019,YEAR,STATE,WISCONSIN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,166
2019,YEAR,STATE,WYOMING,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,123
2018,YEAR,STATE,ALABAMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,156
2018,YEAR,STATE,ARIZONA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,220
2018,YEAR,STATE,ARKANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181
2018,YEAR,STATE,CALIFORNIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,173
2018,YEAR,STATE,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,129
2018,YEAR,STATE,DELAWARE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,145
2018,YEAR,STATE,FLORIDA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,157
