,Feature,Importance
0,year_1970 year_1974,0.032520824752164695
1,state_OREGON state_WASHINGTON,0.024624339352256278
2,state_WASHINGTON year_2017,0.01639067033506383
3,state_WASHINGTON year_2020,0.01549205817828882
4,year_1970 year_1971,0.015050041244542905
5,average_temp_4 state_NORTH DAKOTA,0.011128822843324828
6,average_temp_4 state_SOUTH DAKOTA,0.00961084865468239
7,state_ARIZONA state_WASHINGTON,0.00887607543543111
8,average_temp_8 state_ARIZONA,0.00799265687031718
9,state_ARIZONA state_OREGON,0.006508669657646681
10,D2_7 year_1975,0.0063559068390534445
11,year_1971 year_1975,0.005831610146064298
12,year_2015 year_2017,0.005821136932869612
13,state_ARIZONA state_NEW MEXICO,0.005670985102682494
14,state_NEW MEXICO state_WASHINGTON,0.005587621221592084
15,state_CALIFORNIA state_NEW MEXICO,0.0054656592672142216
16,average_temp_5 state_NORTH DAKOTA,0.005456544023056571
17,state_ARIZONA state_CALIFORNIA,0.005251336853375425
18,year_2017 year_2020,0.005174187011282968
19,W0_8 year_1975,0.004975559247200851
20,state_WASHINGTON year_2018,0.004908119660223545
21,year_1971 year_1974,0.004813513750750613
22,state_NEW MEXICO state_OREGON,0.00473482475968777
23,state_WASHINGTON year_2014,0.004617264293204071
24,year_2016 year_2018,0.004503086271659955
25,year_2017 year_2018,0.0044848680476791405
26,state_CALIFORNIA state_OREGON,0.004375867497124463
27,average_temp_5 state_ARIZONA,0.004154716133607258
28,year_1974 year_1975,0.0036997231767040206
29,year_2014 year_2017,0.0036628533834946906
30,average_temp_8 state_NORTH DAKOTA,0.003626022787118748
31,year_2015 year_2018,0.0036204082823548473
32,year_1971 year_1973,0.0035278469421096653
33,year_2014 year_2020,0.0034674684542647855
34,state_CALIFORNIA year_2020,0.0034272997979527104
35,D2_7 year_1973,0.0034149706199842556
36,state_NEW MEXICO year_2017,0.0033970887141289673
37,year_2014 year_2019,0.0033462734118217662
38,year_2015 year_2020,0.0032890473879090255
39,year_1970 year_1977,0.0032509152005241815
40,year_2018 year_2020,0.0032380129529130147
41,year_1971 year_1976,0.0031835571503105466
42,year_2014 year_2015,0.003181974048013137
43,average_temp_5 state_SOUTH DAKOTA,0.0031065288340518787
44,average_temp_9 state_SOUTH DAKOTA,0.0030955855118740432
45,year_2016 year_2017,0.0030095149701784775
46,state_OREGON year_2017,0.002868334588932668
47,state_NEW MEXICO year_2016,0.0028463688298957764
48,year_2014 year_2016,0.0028433385641549076
49,year_2015 year_2016,0.0028188429178929745
50,year_2018 year_2019,0.002803151956036829
51,year_2016 year_2019,0.002798512014664683
52,state_WASHINGTON year_2016,0.002743600408153703
53,state_ARIZONA year_2018,0.002704313262220945
54,year_1973 year_1974,0.002632582884272
55,year_2015 year_2019,0.0026035841438164166
56,year_1974 year_1977,0.0025931387507647907
57,year_2017 year_2019,0.0025329141081840935
58,year_1972 year_1973,0.0024253095220271455
59,year_2019 year_2020,0.0023954642416832285
60,state_ARIZONA year_2017,0.0022694667083055604
61,year_2014 year_2018,0.002267354641966583
62,year_2013 year_2016,0.0021990139601748265
