,D0_4,D0_5,D0_6,D0_7,D0_8,D0_9,D0_10,D0_11,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D3_10,D3_11,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10,D4_11,N0_4,N0_5,N0_6,N0_7,N0_8,N0_9,N0_10,N0_11,W0_4,W0_5,W0_6,W0_7,W0_8,W0_9,W0_10,W0_11,W1_4,W1_5,W1_6,W1_7,W1_8,W1_9,W1_10,W1_11,W2_4,W2_5,W2_6,W2_7,W2_8,W2_9,W2_10,W2_11,W3_4,W3_5,W3_6,W3_7,W3_8,W3_9,W3_10,W3_11,W4_4,W4_5,W4_6,W4_7,W4_8,W4_9,W4_10,W4_11,average_temp_4,average_temp_5,average_temp_6,average_temp_7,average_temp_8,average_temp_9,average_temp_10,average_temp_11,yield,state_ALABAMA,state_ARIZONA,state_ARKANSAS,state_CALIFORNIA,state_COLORADO,state_DELAWARE,state_FLORIDA,state_GEORGIA,state_IDAHO,state_ILLINOIS,state_INDIANA,state_IOWA,state_KANSAS,state_KENTUCKY,state_LOUISIANA,state_MARYLAND,state_MICHIGAN,state_MINNESOTA,state_MISSISSIPPI,state_MISSOURI,state_MONTANA,state_NEBRASKA,state_NEW JERSEY,state_NEW MEXICO,state_NEW YORK,state_NORTH CAROLINA,state_NORTH DAKOTA,state_OHIO,state_OKLAHOMA,state_OREGON,state_SOUTH CAROLINA,state_SOUTH DAKOTA,state_TENNESSEE,state_TEXAS,state_UTAH,state_VIRGINIA,state_WASHINGTON,state_WEST VIRGINIA,state_WISCONSIN,state_WYOMING,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
0,27.0,35.7,36.5,42.5,7.3,28.3,0.9,1.3,10.1,17.2,11.2,15.9,1.5,10.6,0.0,0.0,1.7,2.9,0.6,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,58.1,52.3,52.7,75.7,70.5,58.0,58.7,11.5,6.0,11.2,4.9,17.0,1.3,41.2,40.0,7.2,4.5,5.7,0.4,3.7,0.0,12.4,12.1,3.1,0.6,0.0,0.0,0.0,0.0,0.2,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,68.3,73.0,77.2,79.0,78.2,70.8,56.8,26.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.0,1.6,2.8,4.9,3.0,1.2,2.9,19.1,0.0,0.7,0.9,3.0,1.4,0.5,0.8,6.2,0.0,0.0,0.1,0.7,0.3,0.0,0.1,0.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,58.8,45.3,55.5,48.6,30.7,36.4,47.8,65.3,39.7,51.8,39.6,48.4,68.2,60.8,33.1,37.1,20.7,29.3,23.1,29.3,45.1,40.6,20.3,7.9,2.6,6.5,4.8,11.1,14.3,10.2,2.7,2.3,0.1,1.2,0.5,1.5,2.8,2.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,55.6,63.8,72.2,78.0,77.8,76.4,71.4,59.9,45.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,14.0,11.5,19.1,12.1,18.7,40.0,70.1,52.0,3.7,1.9,3.0,1.9,6.1,25.4,55.5,29.7,0.0,0.1,0.0,0.2,0.8,3.6,16.0,5.2,0.0,0.0,0.0,0.0,0.2,1.6,3.3,1.1,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.1,72.3,70.3,66.9,67.5,66.2,50.5,28.8,42.5,13.7,18.3,14.0,20.4,15.0,9.5,1.2,5.6,7.9,7.4,3.5,5.0,4.6,1.4,0.3,1.4,1.6,1.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,66.1,71.8,76.3,78.4,78.1,70.3,57.0,48.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,3.6,1.5,1.4,3.6,4.5,10.3,5.9,91.8,96.4,98.5,98.6,96.4,95.6,89.7,94.1,82.6,94.5,95.4,96.3,94.9,87.5,76.4,87.9,42.9,78.7,87.6,88.3,82.9,52.1,32.8,57.0,18.0,58.5,65.2,64.4,55.5,17.2,9.3,33.1,5.1,15.7,20.4,18.5,11.9,0.8,0.9,6.9,60.0,63.9,72.3,78.4,78.8,77.0,71.6,62.1,46.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4.3,1.0,2.7,3.0,3.1,1.7,8.1,9.5,0.4,0.0,0.3,0.2,0.7,0.6,3.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8,49.2,52.2,52.6,41.5,27.5,62.3,59.3,42.9,49.7,45.1,44.4,55.4,70.9,29.6,31.3,29.6,34.8,33.1,32.5,39.6,47.3,16.3,19.6,9.1,17.0,17.5,14.3,10.7,19.3,1.1,2.9,3.3,7.5,7.2,5.1,3.6,6.5,0.0,0.2,0.0,0.8,1.2,0.4,0.7,1.2,0.0,0.0,61.0,66.9,72.6,76.2,78.4,74.4,65.6,56.4,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4,8.0,1.6,0.5,0.1,0.0,0.0,96.6,96.6,91.9,98.4,99.4,99.9,100.0,100.0,92.4,81.2,71.8,95.1,97.8,98.7,99.8,97.7,57.5,50.7,36.2,64.0,71.0,83.6,92.8,77.8,37.6,30.9,16.9,44.0,53.9,65.0,76.5,65.6,19.7,9.2,0.1,22.3,33.3,42.8,57.5,45.7,57.3,66.6,74.2,77.0,78.2,74.4,67.4,59.4,50.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.9,0.0,0.3,11.1,18.6,14.5,6.6,2.0,0.0,0.0,0.0,3.3,9.5,7.5,2.9,0.7,0.0,0.0,0.0,0.0,1.8,2.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,14.6,35.9,70.9,61.8,61.7,66.4,29.4,64.5,85.4,63.7,18.0,19.6,23.6,27.1,68.6,41.0,61.9,32.0,4.8,8.8,10.1,9.1,39.8,8.5,21.3,1.8,0.0,0.9,1.6,1.7,3.7,1.5,4.7,0.1,0.0,0.0,0.4,0.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,64.0,70.0,76.6,77.8,74.6,64.9,51.9,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,3.5,3.2,8.8,28.7,3.4,13.3,16.2,3.5,1.4,0.0,1.2,13.0,1.6,6.2,8.3,0.7,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3,84.1,89.9,68.4,82.3,56.0,39.8,41.4,26.3,12.7,1.3,2.9,0.0,30.6,44.1,55.2,7.6,0.6,0.0,0.0,0.0,13.9,35.1,48.5,0.0,0.0,0.0,0.0,0.0,0.4,14.9,36.2,0.0,0.0,0.0,0.0,0.0,0.0,6.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.2,61.2,68.4,75.5,80.2,80.4,77.6,68.0,58.1,29.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,14.6,0.2,0.9,34.1,57.4,54.1,75.1,59.0,3.5,0.0,0.0,18.9,48.0,40.5,64.7,42.7,0.1,0.0,0.0,2.5,24.0,15.3,36.9,13.9,0.0,0.0,0.0,0.0,10.2,5.0,18.9,3.4,0.0,0.0,0.0,0.0,1.4,0.0,5.2,0.0,59.4,38.9,70.0,41.0,18.3,26.3,23.2,36.4,26.0,60.9,29.0,25.0,24.3,19.6,1.6,4.7,20.7,29.9,22.5,21.0,17.2,12.6,0.2,0.9,8.3,12.3,10.2,9.5,4.5,2.4,0.0,0.0,0.1,4.3,3.9,3.6,2.3,1.3,0.0,0.0,0.0,0.0,0.5,1.5,1.1,0.0,0.0,0.0,57.6,66.9,74.0,79.4,80.0,78.1,69.6,60.7,50.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,28.9,27.8,2.2,4.0,0.0,5.9,10.8,73.3,71.2,72.1,97.7,96.0,100.0,94.1,89.1,50.9,48.0,45.6,84.8,86.0,99.3,84.4,77.5,13.4,14.5,12.0,45.5,49.8,76.6,52.6,58.7,3.3,2.8,0.9,24.8,34.5,55.4,30.5,43.9,0.1,0.0,0.0,3.5,10.6,29.5,10.2,19.4,59.7,66.6,72.4,77.1,78.7,75.5,67.5,57.6,61.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
