,state,year,month,average_temp,N0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4
5217,ALABAMA,1970,4,59.2,61.5,27.0,10.1,1.7,0.0,0.0,11.5,7.2,3.1,0.6,0.0
5218,ARIZONA,1970,4,49.4,65.3,18.5,6.4,1.2,0.1,0.0,16.1,3.7,0.3,0.0,0.0
5219,ARKANSAS,1970,4,54.8,81.1,12.9,3.7,0.0,0.0,0.0,6.1,0.6,0.0,0.0,0.0
5220,CALIFORNIA,1970,4,49.6,33.7,37.4,22.6,2.8,0.4,0.0,28.9,13.8,0.2,0.0,0.0
5221,COLORADO,1970,4,33.8,39.2,3.8,1.6,0.0,0.0,0.0,57.0,33.3,6.4,1.3,0.1
5222,CONNECTICUT,1970,4,39.4,80.4,0.0,0.0,0.0,0.0,0.0,19.6,3.0,0.0,0.0,0.0
5223,DELAWARE,1970,4,45.0,47.9,0.0,0.0,0.0,0.0,0.0,52.1,4.5,0.0,0.0,0.0
5224,FLORIDA,1970,4,67.9,15.3,0.3,0.0,0.0,0.0,0.0,84.3,78.2,54.9,40.0,19.8
5225,GEORGIA,1970,4,60.3,60.2,14.0,2.0,0.0,0.0,0.0,25.8,13.5,7.5,6.4,5.0
5226,IDAHO,1970,4,33.4,56.8,21.8,15.0,5.9,2.5,0.4,21.5,6.6,0.0,0.0,0.0
5227,ILLINOIS,1970,4,44.9,47.6,33.7,17.1,3.6,1.7,0.6,18.5,8.2,0.0,0.0,0.0
5228,INDIANA,1970,4,44.2,59.7,32.9,13.4,0.8,0.0,0.0,7.3,0.5,0.0,0.0,0.0
5229,IOWA,1970,4,40.0,13.5,86.4,63.2,23.9,13.6,5.0,0.0,0.0,0.0,0.0,0.0
5230,KANSAS,1970,4,45.0,37.7,19.1,13.0,5.4,0.9,0.0,43.3,26.4,7.5,1.5,0.0
5231,KENTUCKY,1970,4,49.8,87.6,8.5,0.9,0.0,0.0,0.0,3.8,0.2,0.0,0.0,0.0
5232,LOUISIANA,1970,4,62.4,7.4,92.7,86.5,68.0,49.6,12.0,0.0,0.0,0.0,0.0,0.0
5233,MAINE,1970,4,32.2,14.6,0.3,0.0,0.0,0.0,0.0,85.1,72.5,43.2,23.3,1.3
5234,MARYLAND,1970,4,45.0,68.5,0.0,0.0,0.0,0.0,0.0,31.6,3.2,0.0,0.0,0.0
5235,MASSACHUSETTS,1970,4,38.6,21.7,0.0,0.0,0.0,0.0,0.0,78.4,55.2,4.0,0.0,0.0
5236,MICHIGAN,1970,4,34.4,8.1,91.8,77.9,43.1,26.6,8.5,0.0,0.0,0.0,0.0,0.0
5237,MINNESOTA,1970,4,29.6,39.2,37.6,27.9,9.6,3.3,0.3,23.3,10.6,3.1,0.9,0.0
5238,MISSISSIPPI,1970,4,59.4,18.4,51.9,43.5,22.0,6.9,0.0,29.7,20.7,1.3,0.0,0.0
5239,MISSOURI,1970,4,47.6,43.3,39.3,26.8,3.9,0.5,0.0,17.2,4.2,0.0,0.0,0.0
5240,MONTANA,1970,4,30.5,51.5,37.4,22.8,4.9,1.4,0.1,10.9,2.5,0.2,0.1,0.0
5241,NEBRASKA,1970,4,38.6,56.7,26.0,15.6,2.2,0.2,0.0,17.2,8.3,0.3,0.0,0.0
5242,NEVADA,1970,4,39.4,33.9,57.8,44.4,23.9,11.8,0.9,8.5,5.2,0.2,0.0,0.0
5243,NEW HAMPSHIRE,1970,4,34.1,18.6,0.0,0.0,0.0,0.0,0.0,81.3,43.1,3.6,0.0,0.0
5244,NEW JERSEY,1970,4,42.4,96.9,0.2,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0
5245,NEW MEXICO,1970,4,44.1,54.7,2.2,0.0,0.0,0.0,0.0,43.1,23.5,6.9,1.6,0.0
5246,NEW YORK,1970,4,35.8,41.3,57.2,33.6,8.1,2.8,0.2,1.6,0.5,0.0,0.0,0.0
5247,NORTH CAROLINA,1970,4,53.7,57.8,32.8,9.6,0.0,0.0,0.0,9.5,2.0,0.0,0.0,0.0
5248,NORTH DAKOTA,1970,4,27.2,62.8,20.3,10.8,1.8,0.3,0.0,16.9,6.8,0.0,0.0,0.0
5249,OHIO,1970,4,43.0,51.1,48.5,32.2,11.5,4.7,0.0,0.4,0.0,0.0,0.0,0.0
5250,OKLAHOMA,1970,4,51.9,74.3,12.2,3.4,0.0,0.0,0.0,13.4,5.3,1.8,0.4,0.0
5251,OREGON,1970,4,38.4,56.8,0.7,0.4,0.0,0.0,0.0,42.4,16.7,1.9,0.3,0.0
5252,RHODE ISLAND,1970,4,40.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.7,0.3,0.0,0.0
5253,SOUTH CAROLINA,1970,4,58.9,41.2,26.8,8.9,0.0,0.0,0.0,32.0,27.7,13.9,4.9,0.7
5254,SOUTH DAKOTA,1970,4,33.3,55.5,28.2,11.5,3.2,1.3,0.1,16.3,6.7,0.2,0.0,0.0
5255,TENNESSEE,1970,4,52.7,81.3,6.2,1.8,0.0,0.0,0.0,12.5,1.0,0.0,0.0,0.0
5256,TEXAS,1970,4,58.5,32.5,7.2,4.7,1.9,0.8,0.0,60.3,42.0,17.7,3.8,0.1
5257,UTAH,1970,4,37.6,37.4,59.1,39.2,6.7,0.4,0.0,3.4,0.9,0.0,0.0,0.0
5258,VERMONT,1970,4,33.0,71.7,0.5,0.0,0.0,0.0,0.0,27.8,0.2,0.0,0.0,0.0
5259,VIRGINIA,1970,4,48.0,61.0,31.5,19.8,1.7,0.0,0.0,7.3,0.7,0.0,0.0,0.0
5260,WASHINGTON,1970,4,39.8,58.9,23.8,7.7,0.2,0.0,0.0,17.2,3.3,0.0,0.0,0.0
5261,WEST VIRGINIA,1970,4,45.2,73.5,19.1,11.1,0.3,0.0,0.0,7.4,0.1,0.0,0.0,0.0
5262,WISCONSIN,1970,4,34.5,6.5,93.6,91.0,78.3,53.9,26.2,0.0,0.0,0.0,0.0,0.0
5263,WYOMING,1970,4,29.3,43.2,53.8,38.4,16.4,5.8,1.0,2.9,0.6,0.0,0.0,0.0
5264,ALABAMA,1970,5,68.3,58.1,35.7,17.2,2.9,0.0,0.0,6.0,4.5,0.6,0.0,0.0
5265,ARIZONA,1970,5,59.0,62.9,22.2,9.5,1.0,0.0,0.0,14.9,4.6,0.1,0.0,0.0
5266,ARKANSAS,1970,5,66.4,77.0,19.8,3.9,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0
5267,CALIFORNIA,1970,5,56.3,33.9,40.3,27.0,4.2,1.8,0.2,25.7,9.7,0.0,0.0,0.0
5268,COLORADO,1970,5,45.7,65.5,7.4,2.0,0.0,0.0,0.0,27.1,13.6,1.8,0.1,0.0
5269,CONNECTICUT,1970,5,51.8,60.9,0.0,0.0,0.0,0.0,0.0,39.1,14.9,0.2,0.0,0.0
5270,DELAWARE,1970,5,57.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5271,FLORIDA,1970,5,73.4,13.9,0.4,0.2,0.0,0.0,0.0,85.8,78.2,54.6,36.5,16.9
5272,GEORGIA,1970,5,68.2,36.8,31.8,16.6,0.5,0.0,0.0,31.5,16.5,6.0,4.9,2.6
5273,IDAHO,1970,5,41.9,58.9,14.2,9.1,1.7,0.0,0.0,26.9,8.9,0.3,0.0,0.0
5274,ILLINOIS,1970,5,59.4,53.5,2.1,0.0,0.0,0.0,0.0,44.3,24.3,4.0,0.9,0.0
5275,INDIANA,1970,5,58.5,58.1,25.6,6.7,0.0,0.0,0.0,16.2,5.9,0.2,0.0,0.0
5276,IOWA,1970,5,56.2,58.8,40.9,14.6,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0
5277,KANSAS,1970,5,60.1,74.6,14.2,2.1,0.0,0.0,0.0,11.3,2.9,0.4,0.0,0.0
5278,KENTUCKY,1970,5,62.0,68.5,31.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5279,LOUISIANA,1970,5,70.7,10.5,89.4,79.3,35.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0
5280,MAINE,1970,5,44.6,7.1,0.0,0.0,0.0,0.0,0.0,92.8,82.5,45.8,24.1,0.6
5281,MARYLAND,1970,5,58.1,96.0,3.8,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
5282,MASSACHUSETTS,1970,5,51.2,13.5,0.0,0.0,0.0,0.0,0.0,86.6,64.9,6.2,0.0,0.0
5283,MICHIGAN,1970,5,49.0,54.5,41.1,29.6,9.5,3.8,0.0,4.4,0.7,0.0,0.0,0.0
5284,MINNESOTA,1970,5,46.4,48.3,7.1,2.4,0.0,0.0,0.0,44.7,30.0,9.6,1.5,0.0
5285,MISSISSIPPI,1970,5,69.0,26.7,53.2,47.3,22.3,7.2,0.1,20.1,10.7,0.2,0.0,0.0
5286,MISSOURI,1970,5,61.6,41.8,25.5,12.6,1.4,0.0,0.0,32.7,21.7,9.3,3.2,0.0
5287,MONTANA,1970,5,42.7,42.3,11.9,4.9,0.6,0.1,0.0,45.8,25.8,7.4,2.2,0.0
5288,NEBRASKA,1970,5,54.1,60.1,31.6,15.7,1.5,0.3,0.0,8.4,2.3,0.0,0.0,0.0
5289,NEVADA,1970,5,48.0,30.0,62.1,50.3,29.1,18.5,6.4,8.1,4.1,0.0,0.0,0.0
5290,NEW HAMPSHIRE,1970,5,47.7,23.3,0.0,0.0,0.0,0.0,0.0,76.6,41.4,0.5,0.0,0.0
5291,NEW JERSEY,1970,5,55.0,89.9,0.9,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0
5292,NEW MEXICO,1970,5,54.4,71.2,4.5,0.0,0.0,0.0,0.0,24.2,10.2,1.2,0.2,0.0
5293,NEW YORK,1970,5,49.8,64.4,35.3,16.3,1.8,0.1,0.0,0.3,0.0,0.0,0.0,0.0
5294,NORTH CAROLINA,1970,5,63.4,48.9,50.3,19.2,1.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0
5295,NORTH DAKOTA,1970,5,44.3,31.0,1.5,0.1,0.0,0.0,0.0,67.5,48.7,16.4,4.0,0.0
