N0,state,date,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,-9
22.1,alabama,d_19610101,76,57.9,15.4,5.2,1,2,0.8,0,0,0,0
38.4,arizona,d_19610101,61,38.8,15,5.3,0.4,0.7,0,0,0,0,0
77.2,arkansas,d_19610101,17,4.2,0.3,0,0,5.8,2.5,0,0,0,0
53.7,california,d_19610101,44.7,27.6,3.3,0,0,1.6,0.2,0,0,0,0
25.4,colorado,d_19610101,74.5,63.4,38.8,25.6,12.6,0.1,0,0,0,0,0
95.5,connecticut,d_19610101,0.1,0,0,0,0,4.4,0,0,0,0,0
36.8,delaware,d_19610101,0,0,0,0,0,63.2,14.9,0,0,0,0
92.2,district-of-columbia,d_19610101,0,0,0,0,0,7.8,0,0,0,0,0
29.9,florida,d_19610101,7.8,4.8,0.1,0,0,62.5,50.6,24.7,13.1,2.2,0
11.6,georgia,d_19610101,85.2,73.6,43,26.5,12.7,3.2,1.8,0,0,0,0
22.1,idaho,d_19610101,77.2,68.8,43.1,28.8,12.8,0.7,0,0,0,0,0
36,illinois,d_19610101,63.6,39.9,8.9,4.2,0,0.4,0,0,0,0,0
17.6,indiana,d_19610101,82.3,56.8,18.8,6.2,0.5,0,0,0,0,0,0
73.9,iowa,d_19610101,14.2,7,3,1.4,0,11.9,1.6,0,0,0,0
57.7,kansas,d_19610101,35.9,19.4,2.4,0.3,0,6.4,2,0,0,0,0
53.9,kentucky,d_19610101,43.2,23.9,2.6,0,0,2.8,0.7,0,0,0,0
41,louisiana,d_19610101,46.5,29.3,7,0.3,0,12.4,6.5,2,0.6,0,0
84.6,maine,d_19610101,14.9,6.6,1,0.3,0,0.5,0,0,0,0,0
47.5,maryland,d_19610101,5.7,1.5,0,0,0,46.7,26.3,1,0,0,0
71.2,massachusetts,d_19610101,10.9,1.3,0,0,0,17.9,2.3,0,0,0,0
25.6,michigan,d_19610101,52.1,44.2,29.8,20,9.9,22.3,15.8,9.5,4.2,0.1,0
45.6,minnesota,d_19610101,47,32.1,12.4,6.3,1.2,7.4,0.8,0,0,0,0
35.1,mississippi,d_19610101,64.8,36.9,4.8,0.3,0,0,0,0,0,0,0
19.2,missouri,d_19610101,77.2,53.9,16.5,3.3,0,3.6,1.4,0,0,0,0
